io_uring_register(fd=323, opcode=0x1, arg=0x7f39777d0000, nr_args=0xffff) = -1 (Operation not supported)
io_uring_register(fd=323, opcode=0x1, arg=0x1, nr_args=177) = -1 (Operation not supported)
io_uring_register(fd=323, opcode=0x1, arg=0x4, nr_args=0x1f522baa5ec614a1) = -1 (Operation not supported)
io_uring_register(fd=323, opcode=0x1, arg=0x7f39777cc000, nr_args=-8) = -1 (Operation not supported)
io_uring_register(fd=281, opcode=0x1, arg=0x8, nr_args=0xffffffff82828282) = -1 (Operation not supported)
io_uring_register(fd=281, opcode=0x1, arg=0x7f39779d0000, nr_args=0xffffc00000000000) = -1 (Operation not supported)
io_uring_register(fd=90, opcode=0x1, arg=0x7f39777d0000, nr_args=0x44204a2a01422e51) = -1 (Operation not supported)
io_uring_register(fd=90, opcode=0x1, arg=0x8, nr_args=-2) = -1 (Operation not supported)
io_uring_register(fd=355, opcode=0x1, arg=0x7f39777d0000, nr_args=0xcd3f20a814) = -1 (Operation not supported)
io_uring_register(fd=355, opcode=0x1, arg=0x0, nr_args=-1) = -1 (Operation not supported)
io_uring_register(fd=355, opcode=0x1, arg=0x4, nr_args=0x54545454) = -1 (Operation not supported)
io_uring_register(fd=355, opcode=0x1, arg=0x7f3977ed0000, nr_args=16384) = -1 (Operation not supported)
io_uring_register(fd=355, opcode=0x1, arg=0x0, nr_args=0x11142030d809c40) = -1 (Operation not supported)
io_uring_register(fd=290, opcode=0x1, arg=0x1, nr_args=16) = -1 (Operation not supported)
io_uring_register(fd=290, opcode=0x1, arg=0x0, nr_args=-5) = -1 (Operation not supported)
io_uring_register(fd=290, opcode=0x1, arg=0x0, nr_args=0xafafafaf) = -1 (Operation not supported)
io_uring_register(fd=290, opcode=0x1, arg=0x4, nr_args=0x8d8d8d8d) = -1 (Operation not supported)
io_uring_register(fd=290, opcode=0x1, arg=0x7f3977fd0000, nr_args=0x4000010) = -1 (Operation not supported)
io_uring_register(fd=290, opcode=0x1, arg=0x0, nr_args=32) = -1 (Operation not supported)
io_uring_register(fd=285, opcode=0x2, arg=0x1, nr_args=0x7171) = -1 (Operation not supported)
io_uring_register(fd=285, opcode=0x2, arg=0x7f39798da000, nr_args=0x6a00c48713a016a7) = -1 (Operation not supported)
io_uring_register(fd=285, opcode=0x2, arg=0x1, nr_args=0xe4387366cc) = -1 (Operation not supported)
io_uring_register(fd=285, opcode=0x2, arg=0x7f3977bd0000, nr_args=0x20000000) = -1 (Operation not supported)
io_uring_register(fd=285, opcode=0x2, arg=0x7f3977bd0000, nr_args=0x3c3c3c3c) = -1 (Operation not supported)
