fsetxattr(fd=7, name=0x0, value=0x8, size=8, flags=0x1) = -1 (Bad address)
fsetxattr(fd=7, name=0x7fe8fd9f5000, value=0x7fe8fd9f5004, size=0x43400, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=7, name=0x0, value=0x7fe8fdbfa000, size=8, flags=0x1) = -1 (Bad address)
fsetxattr(fd=7, name=0x7fe8fd9f6000, value=0x0, size=529, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=7, name=0x0, value=0x7fe8fddfa000, size=0x3030303, flags=0x1) = -1 (Bad address)
fsetxattr(fd=7, name=0x4, value=0x7fe8fd9f6000, size=0x3f8962db, flags=0x1) = -1 (Bad address)
fsetxattr(fd=394, name=0x0, value=0x7fe8fd9f5000, size=0xe208, flags=0x1) = -1 (Bad address)
fsetxattr(fd=394, name=0x8, value=0x0, size=4, flags=0x1) = -1 (Bad address)
fsetxattr(fd=394, name=0x7fe8fd9f9000, value=0x7fe8fd9f9004, size=0, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=394, name=0x7fe8fe0fa000, value=0x7fe8fe0fa001, size=17, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=394, name=0x0, value=0x1, size=0x4b4b4b4b, flags=0x1) = -1 (Bad address)
fsetxattr(fd=394, name=0x7fe8fdbfa000, value=0x7fe8fddfa000, size=4, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=343, name=0x7fe8fd9f6000, value=0x0, size=4096, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=343, name=0x1, value=0x1, size=0x214d3000, flags=0x1) = -1 (Bad address)
fsetxattr(fd=343, name=0x0, value=0x7fe8fdffa000, size=8, flags=0x1) = -1 (Bad address)
fsetxattr(fd=343, name=0x0, value=0x4, size=198, flags=0x1) = -1 (Bad address)
fsetxattr(fd=343, name=0x4, value=0x4, size=8, flags=0x1) = -1 (Bad address)
fsetxattr(fd=30, name=0x4, value=0xc, size=2, flags=0x1) = -1 (Bad address)
fsetxattr(fd=30, name=0x7fe8fd9f9000, value=0x7fe8fd9f9001, size=0x54396b, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=30, name=0x0, value=0x8, size=16384, flags=0x1) = -1 (Bad address)
fsetxattr(fd=30, name=0x7fe8fd9fa000, value=0x7fe8fd9fa000, size=8, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=284, name=0x7fe8fdbfa000, value=0x7fe8fdbfa004, size=2048, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=284, name=0x0, value=0x8, size=256, flags=0x1) = -1 (Bad address)
fsetxattr(fd=284, name=0x7fe8fdbfa000, value=0x7fe8fd9fa000, size=8, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=284, name=0x7fe8fd9fa000, value=0x7fe8fd9f7000, size=1, flags=0x1) = -1 (Numerical result out of range)
fsetxattr(fd=123, name=0x7fe8fd9f5000, value=0x7fe8fe0fa000, size=1, flags=0x1) = -1 (Read-only file system)
fsetxattr(fd=123, name=0x4, value=0x0, size=0xd0d0d0d, flags=0x2) = -1 (Read-only file system)
fsetxattr(fd=123, name=0x0, value=0x7fe8fd9f6000, size=1, flags=0x2) = -1 (Read-only file system)
fsetxattr(fd=123, name=0x7fe8fd9fa000, value=0x7fe8fddfa000, size=8, flags=0x2) = -1 (Read-only file system)
fsetxattr(fd=123, name=0x8, value=0x7fe8ffb04000, size=0xfffa, flags=0x2) = -1 (Read-only file system)
fsetxattr(fd=305, name=0x0, value=0x7fe8fd9f5000, size=1, flags=0x2) = -1 (Bad address)
fsetxattr(fd=305, name=0x7fe8fdffa000, value=0x7fe8fdffa001, size=4096, flags=0x2) = -1 (Numerical result out of range)
fsetxattr(fd=305, name=0x7fe8fd9fa000, value=0x7fe8fd9fa000, size=3240, flags=0x2) = -1 (Numerical result out of range)
fsetxattr(fd=305, name=0x0, value=0x0, size=4096, flags=0x2) = -1 (Bad address)
