msgctl(msqid=0xffffffb6b9ff7979, cmd=0x0, buf=0x7f2645b3e000) = -1 (Invalid argument)
msgctl(msqid=-98, cmd=0x0, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=201, cmd=0x0, buf=0x7f2645b3e000) = -1 (Invalid argument)
msgctl(msqid=0x54050acb10aa7433, cmd=0x0, buf=0x7f2645b3f000) = -1 (Invalid argument)
msgctl(msqid=0xabababab, cmd=0x0, buf=0x7f2645f43000) = -1 (Invalid argument)
msgctl(msqid=0xffffefff, cmd=0x0, buf=0x7f2647c4b000) = -1 (Invalid argument)
msgctl(msqid=512, cmd=0x0, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=2757, cmd=0x0, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=0xffffffff30303030, cmd=0x0, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0xffffffff00000001, cmd=0x0, buf=0x7f2645b3e000) = -1 (Invalid argument)
msgctl(msqid=0, cmd=0x0, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=-5, cmd=0x0, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0xfffffffff8f8f8f8, cmd=0x0, buf=0x7f2645b42000) = -1 (Invalid argument)
msgctl(msqid=167, cmd=0x0, buf=0x7f2645b41000) = -1 (Invalid argument)
msgctl(msqid=0x17171717, cmd=0x0, buf=0x7f2646243000) = -1 (Invalid argument)
msgctl(msqid=0x4b4b4b4b, cmd=0x0, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=210, cmd=0x0, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0xe8de6469b49d, cmd=0x0, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=0xffffffffffff0005, cmd=0x0, buf=0x7f2645d43000) = -1 (Invalid argument)
msgctl(msqid=0xffd0, cmd=0x0, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=13, cmd=0x0, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=2048, cmd=0x0, buf=0x7f2645f43000) = -1 (Invalid argument)
msgctl(msqid=0xffff, cmd=0x0, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=0xf000, cmd=0x0, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=0xf4f4f4f4, cmd=0x0, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=0xffff0000, cmd=0x0, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0x9b9b9b9b, cmd=0x0, buf=0x7f2645f43000) = -1 (Invalid argument)
msgctl(msqid=-3, cmd=0x3, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=0xfff7, cmd=0x3, buf=0x0) = -1 (Bad address)
msgctl(msqid=93, cmd=0x3, buf=0x4) = -1 (Bad address)
msgctl(msqid=16384, cmd=0x3, buf=0x0) = -1 (Bad address)
msgctl(msqid=0xc2e009c7129978, cmd=0x3, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=111, cmd=0x3, buf=0x0) = -1 (Bad address)
msgctl(msqid=0xfffffffa, cmd=0x3, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=1, cmd=0x3, buf=0x7f2645b3f000) = 0
msgctl(msqid=0x8000, cmd=0xc, buf=0x0) = -1 (Bad address)
msgctl(msqid=0x87e278befd68, cmd=0xc, buf=0x1) = -1 (Bad address)
msgctl(msqid=0xd201cf75cc0848, cmd=0xc, buf=0x7f2647c4b000) = 0
msgctl(msqid=0x800002500200002, cmd=0xb, buf=0x7f2645b3e000) = -1 (Invalid argument)
msgctl(msqid=-2, cmd=0xb, buf=0x7f2647c4b000) = -1 (Invalid argument)
msgctl(msqid=-1, cmd=0xb, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=32, cmd=0xb, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0x100000, cmd=0xb, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=1, cmd=0xb, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=0x8e39a0a40028, cmd=0xb, buf=0x7f2647c4d000) = -1 (Invalid argument)
msgctl(msqid=4, cmd=0xb, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=0xc477, cmd=0xb, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=2, cmd=0xb, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0x1d00840402008, cmd=0xb, buf=0x7f2645f43000) = -1 (Invalid argument)
msgctl(msqid=0x10000, cmd=0xb, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0x5bf30f99ef7f, cmd=0xb, buf=0x7f2646243000) = -1 (Invalid argument)
msgctl(msqid=0x8000, cmd=0xb, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=0x29292929, cmd=0xb, buf=0x7f2645b43000) = -1 (Invalid argument)
msgctl(msqid=0x98989898, cmd=0xb, buf=0x0) = -1 (Invalid argument)
msgctl(msqid=186, cmd=0xb, buf=0x4) = -1 (Invalid argument)
msgctl(msqid=40, cmd=0xb, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0, cmd=0xb, buf=0x1) = -1 (Invalid argument)
msgctl(msqid=0xfff2, cmd=0xb, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0xffffffff00000fff, cmd=0xb, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0x8600009a, cmd=0xb, buf=0x8) = -1 (Invalid argument)
msgctl(msqid=0x3d3d3d3d, cmd=0xb, buf=0x1) = -1 (Invalid argument)
