clock_nanosleep(which_clock=0x0, flags=0x55c7c437e, rqtp=0x0, rmtp=0x7f05aa0e7000) = -1 (Bad address)
clock_nanosleep(which_clock=0x0, flags=0x55da2ffc6, rqtp=0x0, rmtp=0x8) = -1 (Bad address)
clock_nanosleep(which_clock=0x0, flags=0x55da2ffc6, rqtp=0x7f59fa042000, rmtp=0x7f59fa042008) = 0
clock_nanosleep(which_clock=0x0, flags=0x1, rqtp=0x0, rmtp=0x8) = -1 (Bad address)
clock_nanosleep(which_clock=0x0, flags=0x1, rqtp=0x4, rmtp=0xc) = -1 (Bad address)
clock_nanosleep(which_clock=0x0, flags=0x1, rqtp=0x1, rmtp=0x5) = -1 (Bad address)
clock_nanosleep(which_clock=0x0, flags=0x1, rqtp=0x4, rmtp=0x7f59fa646000) = -1 (Bad address)
clock_nanosleep(which_clock=0x0, flags=0x1, rqtp=0x0, rmtp=0x7f59fa042000) = -1 (Bad address)
clock_nanosleep(which_clock=0x0, flags=0x1, rqtp=0x7f59fa246000, rmtp=0x7f59fa246004) = 0
clock_nanosleep(which_clock=0x0, flags=0x55da2ffc6, rqtp=0x7f59fa846000, rmtp=0x7f59fa846004) = 0
clock_nanosleep(which_clock=0x1, flags=0x55da2ffc6, rqtp=0x1, rmtp=0x2) = -1 (Bad address)
clock_nanosleep(which_clock=0x1, flags=0x55da2ffc6, rqtp=0x7f59fa646000, rmtp=0x7f59fa646004) = 0
clock_nanosleep(which_clock=0x1, flags=0x1, rqtp=0x7f59fa246000, rmtp=0x7f59fa042000) = 0
clock_nanosleep(which_clock=0x1, flags=0x55da2ffc6, rqtp=0x0, rmtp=0x7f59fa846000) = -1 (Bad address)
clock_nanosleep(which_clock=0x1, flags=0x55da2ffc6, rqtp=0x7f59fa043000, rmtp=0x7f59fa043000) = 0
clock_nanosleep(which_clock=0x2, flags=0x55da2ffc6, rqtp=0x7f59fa246000, rmtp=0x7f59fa246008) = 0
clock_nanosleep(which_clock=0x2, flags=0x1, rqtp=0x7f59fa046000, rmtp=0x7f59fa046000) = 0
clock_nanosleep(which_clock=0x2, flags=0x55da2ffc6, rqtp=0x7f59fa246000, rmtp=0x7f59fa846000) = 0
clock_nanosleep(which_clock=0x0, flags=0x55da2ffc6, rqtp=0x1, rmtp=0x0) = -1 (Bad address)
clock_nanosleep(which_clock=0x0, flags=0x565082306, rqtp=0x7f49a9bd9000, rmtp=0x7f49a9bd9004) = 0
clock_nanosleep(which_clock=0x0, flags=0x1, rqtp=0x0, rmtp=0x7f49a9fda000) = -1 (Bad address)
clock_nanosleep(which_clock=0x0, flags=0x1, rqtp=0x7f49a9fda000, rmtp=0x7f49aa1da000) = 0
clock_nanosleep(which_clock=0x0, flags=0x565082306, rqtp=0x0, rmtp=0x7f49a9dda000) = -1 (Bad address)
clock_nanosleep(which_clock=0x0, flags=0x565082306, rqtp=0x0, rmtp=0x7f49aa2da000) = -1 (Bad address)
clock_nanosleep(which_clock=0x0, flags=0x565082306, rqtp=0x7f49a9bd5000, rmtp=0x7f49aa3da000) = 0
clock_nanosleep(which_clock=0x1, flags=0x565082306, rqtp=0x4, rmtp=0x7f49a9bda000) = -1 (Bad address)
clock_nanosleep(which_clock=0x1, flags=0x565082306, rqtp=0x1, rmtp=0x1) = -1 (Bad address)
clock_nanosleep(which_clock=0x1, flags=0x565082306, rqtp=0x0, rmtp=0x4) = -1 (Bad address)
