epoll_ctl(epfd=14, op=0x2, fd=14, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=19, op=0x2, fd=19, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=19, op=0x2, fd=6, event=0x555f77714810) = -1 (No such file or directory)
epoll_ctl(epfd=290, op=0x2, fd=299, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=290, op=0x2, fd=294, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=308, op=0x2, fd=294, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=206, op=0x2, fd=206, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=206, op=0x2, fd=206, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=296, op=0x0, fd=23, event=0x555f77714810) = -1 (Invalid argument)
epoll_ctl(epfd=289, op=0x1, fd=289, event=0x55cdb3baa3c0) = -1 (Operation not permitted)
epoll_ctl(epfd=305, op=0x1, fd=305, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=305, op=0x1, fd=306, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=305, op=0x1, fd=306, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=406, op=0x1, fd=24, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=406, op=0x1, fd=402, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=28, op=0x1, fd=28, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=293, op=0x1, fd=293, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=293, op=0x1, fd=293, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=323, op=0x1, fd=405, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=323, op=0x1, fd=323, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=362, op=0x1, fd=362, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=355, op=0x1, fd=355, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=355, op=0x1, fd=220, event=0x55cdb3baa170) = -1 (Operation not permitted)
epoll_ctl(epfd=397, op=0x1, fd=10, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=397, op=0x1, fd=284, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=283, op=0x1, fd=298, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=283, op=0x1, fd=399, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=219, op=0x1, fd=284, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=219, op=0x1, fd=21, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=219, op=0x1, fd=9, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=301, op=0x1, fd=126, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=126, op=0x1, fd=126, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=282, op=0x1, fd=282, event=0x55cdb3baa170) = -1 (Invalid argument)
epoll_ctl(epfd=386, op=0x1, fd=289, event=0x55cdb3baa170) = -1 (Operation not permitted)
epoll_ctl(epfd=386, op=0x1, fd=8, event=0x55cdb3baa170) = -1 (Invalid argument)
