futex_waitv(waiters=0xfff6, nr_futexes=-1, flags=0, timeout=0xa814, clockid=8576) = -1 (Function not implemented)
futex_waitv(waiters=-3, nr_futexes=253, flags=0, timeout=256, clockid=0xff89) = -1 (Function not implemented)
futex_waitv(waiters=0x6000, nr_futexes=0x40301c4000, flags=0, timeout=0x61616161, clockid=128) = -1 (Function not implemented)
futex_waitv(waiters=16, nr_futexes=0x64eb11c62cb7a603, flags=0, timeout=71, clockid=255) = -1 (Function not implemented)
futex_waitv(waiters=0xfff9, nr_futexes=0xce3d7ffe, flags=0, timeout=6, clockid=0x56565656) = -1 (Function not implemented)
futex_waitv(waiters=0x49cc732e926a21, nr_futexes=0x20000000, flags=0, timeout=0xe3e3e3e3, clockid=512) = -1 (Function not implemented)
futex_waitv(waiters=-10, nr_futexes=0x593c4424a, flags=0, timeout=0xa407aa6da0c78b, clockid=0xe8e8e8e8) = -1 (Function not implemented)
futex_waitv(waiters=0xe0e0e0e0, nr_futexes=0x40000000040400, flags=0, timeout=0xcccccccc, clockid=0x9a9a9a9a) = -1 (Function not implemented)
futex_waitv(waiters=0xfff8, nr_futexes=0x10000320000, flags=0, timeout=-2, clockid=0x66588a58442) = -1 (Function not implemented)
futex_waitv(waiters=-3, nr_futexes=0x86868686, flags=0, timeout=0xff86, clockid=4096) = -1 (Function not implemented)
futex_waitv(waiters=0x4e4e4e4e, nr_futexes=0xf4ce0f1d9d62b2, flags=0, timeout=-9, clockid=198) = -1 (Function not implemented)
futex_waitv(waiters=0xffff, nr_futexes=0xdededede, flags=0, timeout=126, clockid=0xfc00) = -1 (Function not implemented)
futex_waitv(waiters=0x800000, nr_futexes=0xd6fa61a5cad3, flags=0, timeout=62, clockid=1) = -1 (Function not implemented)
futex_waitv(waiters=0x42d7ef8009d3b16b, nr_futexes=512, flags=0, timeout=0xfff6, clockid=0x7ca301a53440c590) = -1 (Function not implemented)
futex_waitv(waiters=0xe000, nr_futexes=0x4e610381d0e2, flags=0, timeout=0x92929292, clockid=0x8b02ed1) = -1 (Function not implemented)
futex_waitv(waiters=0x400000e6, nr_futexes=-7, flags=0, timeout=0xfffffff9, clockid=0xffffffffffff0006) = -1 (Function not implemented)
futex_waitv(waiters=0x6f6f6f6f, nr_futexes=0xcfcfcfcf, flags=0, timeout=32, clockid=-3) = -1 (Function not implemented)
futex_waitv(waiters=0x100000, nr_futexes=0xdb41b73ef31cfc, flags=0, timeout=0x25789c7c27434eef, clockid=0x358c1b3058d169) = -1 (Function not implemented)
futex_waitv(waiters=238, nr_futexes=0x3030303, flags=0, timeout=16384, clockid=0) = -1 (Function not implemented)
futex_waitv(waiters=0x90909090, nr_futexes=0x4173, flags=0, timeout=0x7231dbe26bdb978c, clockid=87) = -1 (Function not implemented)
futex_waitv(waiters=0x2000000, nr_futexes=7344, flags=0, timeout=44, clockid=0x8000) = -1 (Function not implemented)
futex_waitv(waiters=0x15151515, nr_futexes=0xffffffff45454545, flags=0, timeout=0x30000000, clockid=229) = -1 (Function not implemented)
futex_waitv(waiters=0xffffffc5f6cae7ec, nr_futexes=0x69696969, flags=0, timeout=196, clockid=-212) = -1 (Function not implemented)
futex_waitv(waiters=64, nr_futexes=4096, flags=0, timeout=0x1b69d05a86, clockid=-10) = -1 (Function not implemented)
futex_waitv(waiters=0, nr_futexes=0xd112469b00, flags=0, timeout=12170, clockid=0x8000000) = -1 (Function not implemented)
futex_waitv(waiters=0x92002a228000, nr_futexes=-1, flags=0, timeout=0x55555555, clockid=8192) = -1 (Function not implemented)
futex_waitv(waiters=78, nr_futexes=-222, flags=0, timeout=176, clockid=0x36363636) = -1 (Function not implemented)
futex_waitv(waiters=0xffff, nr_futexes=196, flags=0, timeout=0x4509d21c85, clockid=16) = -1 (Function not implemented)
futex_waitv(waiters=1024, nr_futexes=0xd4476a449f8c1238, flags=0, timeout=0x5000, clockid=0x49494949) = -1 (Function not implemented)
futex_waitv(waiters=0xfffd, nr_futexes=4080, flags=0, timeout=0x17d864302, clockid=0xc5c5c5c5) = -1 (Function not implemented)
futex_waitv(waiters=0xa234862434, nr_futexes=0xffffffffffffbfff, flags=0, timeout=216, clockid=0x4d53a86202) = -1 (Function not implemented)
futex_waitv(waiters=-5, nr_futexes=0x241241a18f06, flags=0, timeout=128, clockid=0x12200000) = -1 (Function not implemented)
