io_uring_enter(fd=24, to_submit=126, min_complete=0xc5c5c5c5, flags=0x1, sig=0x0, sigsz=-8193) = -1 (Operation not supported)
io_uring_enter(fd=24, to_submit=-1, min_complete=58, flags=0x1, sig=0x7f57cb9b4000, sigsz=99) = -1 (Operation not supported)
io_uring_enter(fd=24, to_submit=-3, min_complete=0x1000000, flags=0x1, sig=0x0, sigsz=222) = -1 (Operation not supported)
io_uring_enter(fd=24, to_submit=1, min_complete=182, flags=0x1, sig=0x8, sigsz=0x3a3805038d) = -1 (Operation not supported)
io_uring_enter(fd=24, to_submit=0xcfcdcdcd, min_complete=-8, flags=0x1, sig=0x4, sigsz=0xac325221d005ca) = -1 (Operation not supported)
io_uring_enter(fd=24, to_submit=0xfffffff6, min_complete=47, flags=0x1, sig=0x0, sigsz=0x9e9e9e9e) = -1 (Operation not supported)
io_uring_enter(fd=303, to_submit=255, min_complete=0x7c758ffd5cd9f27a, flags=0x1, sig=0x1, sigsz=0x800010100800) = -1 (Operation not supported)
io_uring_enter(fd=303, to_submit=85, min_complete=0x7a4cf8ca291b4089, flags=0x1, sig=0x7f57cbdb6000, sigsz=0xaaaa) = -1 (Operation not supported)
io_uring_enter(fd=303, to_submit=4096, min_complete=203, flags=0x1, sig=0x1, sigsz=0x81818181) = -1 (Operation not supported)
io_uring_enter(fd=303, to_submit=0xff000000, min_complete=0x131978813f5e6804, flags=0x1, sig=0x0, sigsz=255) = -1 (Operation not supported)
io_uring_enter(fd=303, to_submit=8192, min_complete=-108, flags=0x1, sig=0x1, sigsz=-6) = -1 (Operation not supported)
io_uring_enter(fd=405, to_submit=0x79e3, min_complete=0x240062015, flags=0x1, sig=0x0, sigsz=0x100008240) = -1 (Operation not supported)
io_uring_enter(fd=405, to_submit=-4, min_complete=0x85a32281d00c60a, flags=0x1, sig=0x8, sigsz=255) = -1 (Operation not supported)
io_uring_enter(fd=298, to_submit=9, min_complete=241, flags=0x1, sig=0x1, sigsz=-158) = -1 (Operation not supported)
io_uring_enter(fd=298, to_submit=0x8439fcae87, min_complete=0x200000, flags=0x1, sig=0x8, sigsz=39) = -1 (Operation not supported)
io_uring_enter(fd=298, to_submit=0x451062241037, min_complete=0xadadadad, flags=0x1, sig=0x1, sigsz=0x8000) = -1 (Operation not supported)
io_uring_enter(fd=298, to_submit=0x3e08452c55b969b5, min_complete=0x2384400300, flags=0x1, sig=0x0, sigsz=4096) = -1 (Operation not supported)
io_uring_enter(fd=298, to_submit=-5, min_complete=0xffffe000, flags=0x1, sig=0x0, sigsz=15613) = -1 (Operation not supported)
io_uring_enter(fd=298, to_submit=4096, min_complete=157, flags=0x1, sig=0x7f57cbfb6000, sigsz=0x8000000) = -1 (Operation not supported)
io_uring_enter(fd=307, to_submit=0x4f4d4000, min_complete=-2, flags=0x1, sig=0x4, sigsz=181) = -1 (Operation not supported)
io_uring_enter(fd=307, to_submit=251, min_complete=-4, flags=0x1, sig=0x4, sigsz=0xff48) = -1 (Operation not supported)
io_uring_enter(fd=107, to_submit=58, min_complete=0x7272, flags=0x1, sig=0x7f57cbbb6000, sigsz=8192) = -1 (Operation not supported)
io_uring_enter(fd=107, to_submit=255, min_complete=0xa4a4a4a4, flags=0x2, sig=0x4, sigsz=0x8d8d8d8d) = -1 (Operation not supported)
io_uring_enter(fd=107, to_submit=0x41d32bc652da, min_complete=0x4040000240, flags=0x2, sig=0x7f57cb9b4000, sigsz=8) = -1 (Operation not supported)
io_uring_enter(fd=309, to_submit=8, min_complete=128, flags=0x2, sig=0x8, sigsz=0x1004000000208) = -1 (Operation not supported)
io_uring_enter(fd=309, to_submit=0x6d6f08c152, min_complete=1024, flags=0x2, sig=0x7f57cbdb6000, sigsz=-64) = -1 (Operation not supported)
io_uring_enter(fd=309, to_submit=0x36a6ed70, min_complete=0x100c04020800, flags=0x2, sig=0x7f57cb9b5000, sigsz=-5) = -1 (Operation not supported)
io_uring_enter(fd=298, to_submit=36, min_complete=0x800000a1, flags=0x2, sig=0x7f57cbbb6000, sigsz=0xc22002a16) = -1 (Operation not supported)
io_uring_enter(fd=298, to_submit=0xc82c44e6da, min_complete=185, flags=0x2, sig=0x7f57cc1b6000, sigsz=0xfe610f7f6dd93d) = -1 (Operation not supported)
io_uring_enter(fd=298, to_submit=0x1800000, min_complete=0x2000008, flags=0x2, sig=0x1, sigsz=0xa000000) = -1 (Operation not supported)
io_uring_enter(fd=298, to_submit=0x6785f1d8520ccd54, min_complete=255, flags=0x2, sig=0x7f57cb9b2000, sigsz=0x6e49f6b04c6d99b3) = -1 (Operation not supported)
io_uring_enter(fd=298, to_submit=0xe3e3e3e3, min_complete=0x8202111960c18, flags=0x2, sig=0x1, sigsz=0x5101174868a10) = -1 (Operation not supported)
io_uring_enter(fd=298, to_submit=0, min_complete=122, flags=0x2, sig=0x0, sigsz=4) = -1 (Operation not supported)
io_uring_enter(fd=307, to_submit=0x510000e42, min_complete=0, flags=0x2, sig=0x1, sigsz=0x2b0f78795d) = -1 (Operation not supported)
io_uring_enter(fd=307, to_submit=-64, min_complete=0xffff, flags=0x2, sig=0x7f57cbbb6000, sigsz=0x200000) = -1 (Operation not supported)
io_uring_enter(fd=305, to_submit=131, min_complete=512, flags=0x2, sig=0x4, sigsz=-9) = -1 (Operation not supported)
io_uring_enter(fd=305, to_submit=0x10000, min_complete=-9, flags=0x2, sig=0x4, sigsz=0xffffffff84040404) = -1 (Operation not supported)
