epoll_pwait(epfd=305, events=0x7fb594f0f000, maxevents=-7, timeout=-1, sigmask=0xe008ce268271, sigsetsize=0x4802a0aa04008) = -1 (Invalid argument)
epoll_pwait(epfd=305, events=0x7fb592e06000, maxevents=8192, timeout=0, sigmask=0x7c7c7c7c, sigsetsize=0xfffd) = -1 (Invalid argument)
epoll_pwait(epfd=16, events=0x0, maxevents=239, timeout=0xc9de, sigmask=0x5d5d5d5d, sigsetsize=0x644a) = -1 (Invalid argument)
epoll_pwait(epfd=16, events=0x7fb593406000, maxevents=0x100000, timeout=0x1a6a40114ad0, sigmask=0xb3b3b3b3, sigsetsize=0xb2b2b2b2) = -1 (Invalid argument)
epoll_pwait(epfd=16, events=0x0, maxevents=50, timeout=-2, sigmask=0x1588200904, sigsetsize=0xf536b6bfe737ce7e) = -1 (Invalid argument)
epoll_pwait(epfd=16, events=0x0, maxevents=177, timeout=0xd6d6d6d6, sigmask=0xa2a2a2a2, sigsetsize=0x10000000) = -1 (Invalid argument)
epoll_pwait(epfd=16, events=0x0, maxevents=0xc7c7c7c7, timeout=0, sigmask=161, sigsetsize=0x745caab565dcbf61) = -1 (Invalid argument)
epoll_pwait(epfd=16, events=0x7fb592e05000, maxevents=60, timeout=128, sigmask=0x54d1245499, sigsetsize=237) = -1 (Invalid argument)
epoll_pwait(epfd=388, events=0x1, maxevents=-6, timeout=0x8100000000, sigmask=0x4310402415c0, sigsetsize=-8) = -1 (Invalid argument)
epoll_pwait(epfd=388, events=0x7fb592e02000, maxevents=0x2020202, timeout=-1, sigmask=-3, sigsetsize=0xfffffff5) = -1 (Invalid argument)
epoll_pwait(epfd=388, events=0x0, maxevents=0x8000000, timeout=0x295708750a20, sigmask=0x5b5b5b5b, sigsetsize=0xf2f2) = -1 (Invalid argument)
epoll_pwait(epfd=388, events=0x0, maxevents=32, timeout=0xa2910bc1, sigmask=0xfff6, sigsetsize=0x84df58c3d03a) = -1 (Invalid argument)
epoll_pwait(epfd=388, events=0x8, maxevents=0x20047014384821, timeout=0x25824240d10, sigmask=0x200000, sigsetsize=256) = -1 (Invalid argument)
epoll_pwait(epfd=388, events=0x1, maxevents=32, timeout=1024, sigmask=0x80081180c3, sigsetsize=0x55b0b52d2c0360f1) = -1 (Invalid argument)
epoll_pwait(epfd=388, events=0x7fb593006000, maxevents=2, timeout=201, sigmask=0x10000000, sigsetsize=0xba26a9ecd9) = -1 (Invalid argument)
epoll_pwait(epfd=22, events=0x8, maxevents=0x230080246d8a5623, timeout=0x31a150290a4a, sigmask=0x900000, sigsetsize=0x65b0344f9916f4) = -1 (Invalid argument)
