mremap(addr=0x7fcac8b63000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x100000000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b64000, old_len=0x198000, new_len=0x200000, flags=0x557bbb5d7, new_addr=0x200000) = -1 (Invalid argument)
mremap(addr=0x7fcac9164000, old_len=0xd7000, new_len=0x100000, flags=0x557bbb5d7, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcac9264000, old_len=0x1c000, new_len=0x100000, flags=0x557bbb5d7, new_addr=0x300000) = -1 (Invalid argument)
mremap(addr=0x7fcac8d64000, old_len=0x13b000, new_len=0x200000, flags=0x557bbb5d7, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcac9364000, old_len=0x98000, new_len=0x100000, flags=0x557bbb5d7, new_addr=0x40000000) = -1 (Invalid argument)
mremap(addr=0x7fcacac6e000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x200000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b62000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x700000) = -1 (Invalid argument)
mremap(addr=0x7fcacac6c000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x80000000) = -1 (Invalid argument)
mremap(addr=0x7fcacac6c000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x80000000) = -1 (Invalid argument)
mremap(addr=0x7fcac9264000, old_len=0x3d000, new_len=0x100000, flags=0x557bbb5d7, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcac9164000, old_len=0x78000, new_len=0x100000, flags=0x557bbb5d7, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b62000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x100000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b62000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcacac6c000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcac8f64000, old_len=0xd4000, new_len=0x200000, flags=0x557bbb5d7, new_addr=0x200000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b61000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x80000000) = -1 (Invalid argument)
mremap(addr=0x7fcacac6d000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x600000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b63000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x600000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b61000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b64000, old_len=0x18d000, new_len=0x200000, flags=0x557bbb5d7, new_addr=0x600000) = -1 (Invalid argument)
mremap(addr=0x7fcac8f64000, old_len=0x1cb000, new_len=0x200000, flags=0x557bbb5d7, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b62000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x80000000) = -1 (Invalid argument)
mremap(addr=0x7fcac9364000, old_len=0x66000, new_len=0x100000, flags=0x557bbb5d7, new_addr=0x600000) = -1 (Invalid argument)
mremap(addr=0x7fcacac6e000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcac8d64000, old_len=0x25000, new_len=0x200000, flags=0x557bbb5d7, new_addr=0x40000000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b61000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x80000000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b61000, old_len=0, new_len=4096, flags=0x557bbb5d7, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b62000, old_len=0, new_len=4096, flags=0x1, new_addr=0) = 0x7fcac6ae4000
mremap(addr=0x7fcac9164000, old_len=0xa0000, new_len=0x100000, flags=0x36, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b63000, old_len=0, new_len=4096, flags=0x36, new_addr=0x100000000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b64000, old_len=0x12a000, new_len=0x200000, flags=0x36, new_addr=0x100000) = -1 (Invalid argument)
mremap(addr=0x7fcac9264000, old_len=0xf4000, new_len=0x100000, flags=0x36, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcac9364000, old_len=0x74000, new_len=0x100000, flags=0x36, new_addr=0x100000000) = -1 (Invalid argument)
mremap(addr=0x7fcac9164000, old_len=0xba000, new_len=0x100000, flags=0x36, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcac9264000, old_len=0xdd000, new_len=0x100000, flags=0x36, new_addr=0x80000000) = -1 (Invalid argument)
mremap(addr=0x7fcacac6d000, old_len=0, new_len=4096, flags=0x36, new_addr=0x600000) = -1 (Invalid argument)
mremap(addr=0x7fcacac6c000, old_len=0, new_len=4096, flags=0x36, new_addr=0x200000) = -1 (Invalid argument)
mremap(addr=0x7fcac6ae4000, old_len=0, new_len=4096, flags=0x36, new_addr=0x80000000) = -1 (Invalid argument)
mremap(addr=0x7fcac6ae4000, old_len=0, new_len=4096, flags=0x36, new_addr=0x200000) = -1 (Invalid argument)
mremap(addr=0x7fcacac6e000, old_len=0, new_len=4096, flags=0x36, new_addr=0x200000) = -1 (Invalid argument)
mremap(addr=0x7fcacac6d000, old_len=0, new_len=4096, flags=0x36, new_addr=0x200000) = -1 (Invalid argument)
mremap(addr=0x7fcac6ae4000, old_len=0, new_len=4096, flags=0x36, new_addr=0x600000) = -1 (Invalid argument)
mremap(addr=0x7fcac9364000, old_len=0xb3000, new_len=0x100000, flags=0x36, new_addr=0x200000) = -1 (Invalid argument)
mremap(addr=0x7fcac8d64000, old_len=0xbb000, new_len=0x200000, flags=0x36, new_addr=0x200000) = -1 (Invalid argument)
mremap(addr=0x7fcacac6c000, old_len=0, new_len=4096, flags=0x36, new_addr=0x80000000) = -1 (Invalid argument)
mremap(addr=0x7fcac9164000, old_len=0x79000, new_len=0x100000, flags=0x36, new_addr=0x400000) = -1 (Invalid argument)
mremap(addr=0x7fcac8b61000, old_len=0, new_len=4096, flags=0x36, new_addr=0x100000000) = -1 (Invalid argument)
