futex(uaddr=0x7f4d7904f000, op=0x86, val=179, utime=0x0, uaddr2=0x7f4d7a959000, val3=8477) = 0
futex(uaddr=0x562880c199c0, op=0x1, val=0x7fffffff, utime=0x7f4d7884e000, uaddr2=0x562880c197e0, val3=0x92929292) = 0
futex(uaddr=0x7f4d7884c000, op=0x88, val=0x480004734a900002, utime=0x7f4d78f4f000, uaddr2=0x7f4d7884c000, val3=0x5d5d5d5d) = 0
futex(uaddr=0x7f4d78c4f000, op=0x89, val=-8, utime=0x7f4d7884f000, uaddr2=0x7f4d7884d000, val3=257) = -1 (Resource temporarily unavailable)
futex(uaddr=0x562880c19b00, op=0x89, val=0xfefef577f7ff9ffe, utime=0x7f4d7884b000, uaddr2=0x562880c197e0, val3=0x80000) = -1 (Resource temporarily unavailable)
futex(uaddr=0x562880c199c0, op=0x5, val=1, utime=0x4, uaddr2=0x562880c19b00, val3=1) = 0
futex(uaddr=0x562880c19920, op=0x5, val=1, utime=0x4, uaddr2=0x562880c19d80, val3=2) = 0
futex(uaddr=0x562880c19d80, op=0xc, val=0x7fffffff, utime=0x0, uaddr2=0x562880c19a60, val3=0x40000000) = -1 (Invalid argument)
futex(uaddr=0x562880c19880, op=0x1, val=0x7fffffff, utime=0x1, uaddr2=0x562880c197e0, val3=3289) = 0
futex(uaddr=0x562880c19740, op=0x1, val=0x7fffffff, utime=0x8, uaddr2=0x562880c19880, val3=0x8465af8a01) = 0
futex(uaddr=0x7fe86ebf9000, op=0x0, val=4, utime=0x7fe86caeb000, uaddr2=0x7fe86caed000, val3=0xfffffffa) = -1 (Resource temporarily unavailable)
futex(uaddr=0x5647d88129c0, op=0x6, val=0x80a8aaa43215, utime=0x7fe86caec000, uaddr2=0x5647d8812a60, val3=0x400000) = -1 (No such process)
futex(uaddr=0x5647d8812b00, op=0x5, val=1, utime=0x7fe86caeb000, uaddr2=0x5647d8812d80, val3=2) = 0
futex(uaddr=0x5647d88129c0, op=0x10b, val=0, utime=0x1, uaddr2=0x5647d8812ce0, val3=0x80075071050004) = -1 (Bad address)
futex(uaddr=0x7fe86caef000, op=0x1, val=0x95959595, utime=0x7fe86caec000, uaddr2=0x7fe86caed000, val3=185) = 0
futex(uaddr=0x5647d8812ce0, op=0x5, val=1, utime=0x8, uaddr2=0x5647d8812660, val3=4) = 0
futex(uaddr=0x5647d8812660, op=0xc, val=0x7fffffff, utime=0x4, uaddr2=0x5647d8812d80, val3=0xb543) = -1 (Invalid argument)
futex(uaddr=0x5647d8812660, op=0x5, val=1, utime=0x1, uaddr2=0x5647d8812ba0, val3=0) = 0
futex(uaddr=0x5647d8812ba0, op=0x4, val=2, utime=0x7fe86d2ef000, uaddr2=0x5647d88129c0, val3=0xa72f9ecfa8) = -1 (Resource temporarily unavailable)
futex(uaddr=0x5647d88127e0, op=0x6, val=0x8000000, utime=0x7fe86ebf9000, uaddr2=0x5647d88127e0, val3=122) = -1 (No such process)
futex(uaddr=0x7fe86ebf8000, op=0x4, val=24, utime=0x1, uaddr2=0x7fe86caec000, val3=0x9d9c0d3945ca) = -1 (Resource temporarily unavailable)
futex(uaddr=0x5647d8812660, op=0x5, val=1, utime=0x7fe86caea000, uaddr2=0x5647d8812660, val3=3) = 0
futex(uaddr=0x7fe86ebf9000, op=0x5, val=-5, utime=0x0, uaddr2=0x7fe86ebf7000, val3=0x20000a09bc0008) = -1 (Function not implemented)
futex(uaddr=0x7fe86d0ef000, op=0x5, val=64, utime=0x0, uaddr2=0x7fe86d0ef000, val3=0x22206f7c8fa3) = -1 (Function not implemented)
futex(uaddr=0x7fe86ebf8000, op=0x5, val=121, utime=0x0, uaddr2=0x7fe86ebf7000, val3=0x17171717) = -1 (Function not implemented)
futex(uaddr=0x5647d8812d80, op=0x1, val=0x7fffffff, utime=0x0, uaddr2=0x5647d8812880, val3=-512) = 0
futex(uaddr=0x5647d8812d80, op=0x6, val=-9, utime=0x4, uaddr2=0x5647d88127e0, val3=219) = -1 (Bad address)
futex(uaddr=0x5647d8812b00, op=0x6, val=247, utime=0x7fe86d2ef000, uaddr2=0x5647d8812740, val3=-4) = -1 (No such process)
futex(uaddr=0x7fe86caef000, op=0x6, val=-5, utime=0x7fe86caeb000, uaddr2=0x7fe86d0ef000, val3=2304) = 0
futex(uaddr=0x7fe86caed000, op=0x7, val=0x5e5e5e5e, utime=0x7fe86d2ef000, uaddr2=0x7fe86ebf8000, val3=0x79ebb0bd072fa0d7) = -1 (Operation not permitted)
futex(uaddr=0x7fe86d0ef000, op=0x7, val=186, utime=0x0, uaddr2=0x7fe86d0ef000, val3=83) = -1 (Operation not permitted)
