copy_file_range(fd_in=288, off_in=4, fd_out=12, off_out=4, len=4096, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=288, off_in=0xffaf, fd_out=16, off_out=1, len=238, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=288, off_in=8, fd_out=403, off_out=230, len=4096, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=403, off_in=9217, fd_out=292, off_out=-16384, len=4, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=292, off_in=1, fd_out=283, off_out=0, len=0, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=292, off_in=8, fd_out=399, off_out=0xfffff6, len=8, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=292, off_in=0, fd_out=15, off_out=1, len=4096, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=7, off_in=8192, fd_out=24, off_out=129, len=1, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=7, off_in=124, fd_out=303, off_out=0x603f, len=128, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=7, off_in=8, fd_out=287, off_out=-5, len=1, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=287, off_in=4096, fd_out=281, off_out=0x757575, len=0xb8b8, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=287, off_in=0x8601, fd_out=287, off_out=65, len=4, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=287, off_in=-10, fd_out=248, off_out=146, len=3838, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=248, off_in=0xfffffc, fd_out=248, off_out=4, len=8, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=248, off_in=4096, fd_out=248, off_out=4096, len=11, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=248, off_in=8, fd_out=13, off_out=8, len=4, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=13, off_in=-7, fd_out=392, off_out=4, len=-7, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=13, off_in=135, fd_out=11, off_out=1, len=4, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=13, off_in=8, fd_out=13, off_out=4096, len=0, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=13, off_in=0x12ba30, fd_out=27, off_out=1, len=8, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=27, off_in=4096, fd_out=29, off_out=209, len=8, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=27, off_in=1, fd_out=291, off_out=8, len=4, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=291, off_in=4096, fd_out=291, off_out=4, len=0, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=291, off_in=4096, fd_out=291, off_out=30, len=1, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=291, off_in=0, fd_out=404, off_out=16, len=609, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=404, off_in=2, fd_out=305, off_out=4096, len=0x2108802, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=404, off_in=1, fd_out=404, off_out=4096, len=0x5b1000, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=404, off_in=4, fd_out=143, off_out=4096, len=8, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=404, off_in=218, fd_out=285, off_out=0, len=8, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=396, off_in=25, fd_out=396, off_out=16384, len=184, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=396, off_in=4, fd_out=12, off_out=4, len=231, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=396, off_in=0, fd_out=395, off_out=0xfffff7, len=128, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=396, off_in=2543, fd_out=288, off_out=0xfffe, len=2048, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=292, off_in=8, fd_out=292, off_out=1, len=4, flags=0x0) = -1 (Bad address)
copy_file_range(fd_in=16, off_in=0, fd_out=292, off_out=64, len=4, flags=0x563b8934b831) = -1 (Bad address)
copy_file_range(fd_in=16, off_in=4, fd_out=282, off_out=163, len=1, flags=0x563b8934b831) = -1 (Bad address)
copy_file_range(fd_in=16, off_in=127, fd_out=403, off_out=8, len=4096, flags=0x563b8934b831) = -1 (Bad address)
copy_file_range(fd_in=403, off_in=4, fd_out=293, off_out=4, len=0x48ee8b, flags=0x563b8934b831) = -1 (Bad address)
copy_file_range(fd_in=403, off_in=0, fd_out=347, off_out=0xece000, len=239, flags=0x563b8934b831) = -1 (Bad address)
copy_file_range(fd_in=403, off_in=0xdedede, fd_out=403, off_out=0, len=4096, flags=0x563b8934b831) = -1 (Bad address)
copy_file_range(fd_in=283, off_in=1, fd_out=283, off_out=0xe836, len=0x10000, flags=0x563b8934b831) = -1 (Bad address)
copy_file_range(fd_in=283, off_in=253, fd_out=331, off_out=4092, len=4, flags=0x563b8934b831) = -1 (Bad address)
copy_file_range(fd_in=283, off_in=4096, fd_out=303, off_out=4096, len=0xffffffffdcdcdcdc, flags=0x563b8934b831) = -1 (Bad address)
copy_file_range(fd_in=9, off_in=1976, fd_out=59, off_out=61, len=4, flags=0x563b8934b831) = -1 (Bad address)
copy_file_range(fd_in=9, off_in=0x10000, fd_out=9, off_out=4096, len=4, flags=0x563b8934b831) = -1 (Bad address)
copy_file_range(fd_in=9, off_in=1, fd_out=233, off_out=0xe627dc, len=250, flags=0x563b8934b831) = -1 (Bad address)
copy_file_range(fd_in=233, off_in=1, fd_out=410, off_out=8, len=45, flags=0x563b8934b831) = -1 (Bad address)
copy_file_range(fd_in=17, off_in=-3, fd_out=17, off_out=64, len=4094, flags=0x563b8934b831) = -1 (Bad address)
copy_file_range(fd_in=281, off_in=-3, fd_out=407, off_out=-2, len=8, flags=0x563b8934b831) = -1 (Bad address)
