fgetxattr(fd=334, name=0x7ff12d58d000, value=0x7ff12d58d004, size=4096) = -1 (Numerical result out of range)
fgetxattr(fd=334, name=0x7ff12b480000, value=0x7ff12b480008, size=1) = -1 (Numerical result out of range)
fgetxattr(fd=334, name=0x0, value=0x0, size=103) = -1 (Bad address)
fgetxattr(fd=334, name=0x8, value=0xc, size=0xffff) = -1 (Bad address)
fgetxattr(fd=334, name=0x4, value=0x7ff12b885000, size=8) = -1 (Bad address)
fgetxattr(fd=338, name=0x7ff12b685000, value=0x0, size=1) = -1 (Numerical result out of range)
fgetxattr(fd=338, name=0x7ff12b885000, value=0x7ff12b482000, size=1) = -1 (Numerical result out of range)
fgetxattr(fd=338, name=0x4, value=0x0, size=8) = -1 (Bad address)
fgetxattr(fd=338, name=0x7ff12bb85000, value=0x7ff12b685000, size=4096) = -1 (Numerical result out of range)
fgetxattr(fd=338, name=0x0, value=0x7ff12b685000, size=1505) = -1 (Bad address)
fgetxattr(fd=11, name=0x7ff12b480000, value=0x7ff12b885000, size=1992) = -1 (Numerical result out of range)
fgetxattr(fd=11, name=0x7ff12bb85000, value=0x0, size=1) = -1 (Numerical result out of range)
fgetxattr(fd=285, name=0x8, value=0x8, size=4096) = -1 (Bad address)
fgetxattr(fd=285, name=0x4, value=0x4, size=4096) = -1 (Bad address)
fgetxattr(fd=285, name=0x0, value=0x0, size=0) = -1 (Bad address)
fgetxattr(fd=408, name=0x1, value=0x2, size=0x53535353) = -1 (Bad address)
fgetxattr(fd=408, name=0x7ff12b480000, value=0x7ff12b482000, size=4096) = -1 (Numerical result out of range)
fgetxattr(fd=408, name=0x4, value=0x7ff12b484000, size=0xfffff8) = -1 (Bad address)
fgetxattr(fd=408, name=0x7ff12b480000, value=0x7ff12bc85000, size=106) = -1 (Numerical result out of range)
fgetxattr(fd=16, name=0x1, value=0x7ff12b685000, size=0x141a9bd3) = -1 (Bad address)
fgetxattr(fd=16, name=0x7ff12b485000, value=0x7ff12b485004, size=4) = -1 (Numerical result out of range)
fgetxattr(fd=16, name=0x7ff12b481000, value=0x7ff12b481008, size=1) = -1 (Numerical result out of range)
