name_to_handle_at(fd=13, name=0x1, handle=0x1, mnt_id=0x7fec1252b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=285, name=0x4, handle=0x0, mnt_id=0x7fec1292b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=285, name=0x7fec1252b000, handle=0x7fec1252b001, mnt_id=0x7fec1252b009, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=285, name=0x1, handle=0x7fec12327000, mnt_id=0x0, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=285, name=0x0, handle=0x0, mnt_id=0x0, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=285, name=0x7fec12a2b000, handle=0x7fec12a2b008, mnt_id=0x7fec12a2b008, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=10, name=0x4, handle=0x7fec12b2b000, mnt_id=0x7fec12b2b004, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=10, name=0x7fec12326000, handle=0x7fec1272b000, mnt_id=0x7fec1272b001, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=303, name=0x0, handle=0x1, mnt_id=0x7fec14434000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=303, name=0x7fec12b2b000, handle=0x7fec12b2b004, mnt_id=0x7fec12b2b008, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=287, name=0x7fec1252b000, handle=0x7fec1252b000, mnt_id=0x7fec12b2b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=287, name=0x0, handle=0x7fec12327000, mnt_id=0x7fec1232a000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=287, name=0x7fec12a2b000, handle=0x7fec1252b000, mnt_id=0x7fec14433000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=287, name=0x4, handle=0x8, mnt_id=0x7fec12b2b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=287, name=0x7fec12a2b000, handle=0x7fec12326000, mnt_id=0x7fec1232b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=287, name=0x4, handle=0x7fec12327000, mnt_id=0x7fec1252b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=11, name=0x8, handle=0x7fec1292b000, mnt_id=0x7fec1292b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=11, name=0x8, handle=0xc, mnt_id=0x7fec1272b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=11, name=0x7fec1232b000, handle=0x7fec1232b008, mnt_id=0x7fec1232b000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=11, name=0x0, handle=0x7fec1292b000, mnt_id=0x7fec1292b001, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=11, name=0x7fec1252b000, handle=0x7fec1232b000, mnt_id=0x7fec12328000, flag=0xffffffffffffff9c) = -1 (Invalid argument)
name_to_handle_at(fd=11, name=0x8, handle=0x10, mnt_id=0x7fec1252b000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=286, name=0x1, handle=0x7fec1272b000, mnt_id=0x7fec1272b004, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=286, name=0x7fec1232b000, handle=0x7fec1272b000, mnt_id=0x7fec1272b000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=25, name=0x0, handle=0x1, mnt_id=0x0, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=25, name=0x8, handle=0x7fec1272b000, mnt_id=0x7fec1272b004, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=25, name=0x8, handle=0x7fec12a2b000, mnt_id=0x7fec12a2b004, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=25, name=0x4, handle=0x0, mnt_id=0x0, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=24, name=0x8, handle=0x0, mnt_id=0x8, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=24, name=0x0, handle=0x4, mnt_id=0x8, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=24, name=0x7fec1272b000, handle=0x7fec1272b000, mnt_id=0x7fec1272b001, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=24, name=0x8, handle=0x7fec1252b000, mnt_id=0x7fec1252b000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=24, name=0x4, handle=0x7fec1232b000, mnt_id=0x7fec1252b000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=24, name=0x1, handle=0x9, mnt_id=0x7fec14433000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=387, name=0x7fec1252b000, handle=0x0, mnt_id=0x7fec12a2b000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=387, name=0x4, handle=0x5, mnt_id=0x9, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=387, name=0x7fec12327000, handle=0x7fec12327008, mnt_id=0x0, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=403, name=0x4, handle=0x4, mnt_id=0x4, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=403, name=0x0, handle=0x0, mnt_id=0x7fec1292b000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=306, name=0x7fec1232a000, handle=0x7fec12326000, mnt_id=0x7fec12326004, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=306, name=0x1, handle=0x7fec12a2b000, mnt_id=0x7fec12a2b000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=306, name=0x0, handle=0x7fec1232b000, mnt_id=0x7fec12327000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=306, name=0x8, handle=0x7fec1232b000, mnt_id=0x7fec1232b001, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=306, name=0x4, handle=0x5, mnt_id=0x7fec12329000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=303, name=0x0, handle=0x4, mnt_id=0xc, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=303, name=0x4, handle=0x7fec12326000, mnt_id=0x7fec1232b000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=303, name=0x1, handle=0x1, mnt_id=0x2, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=303, name=0x8, handle=0x7fec1272b000, mnt_id=0x7fec12327000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=303, name=0x7fec1292b000, handle=0x7fec1292b001, mnt_id=0x7fec1292b009, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=303, name=0x7fec1272b000, handle=0x7fec1272b000, mnt_id=0x7fec1272b004, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=409, name=0x1, handle=0x9, mnt_id=0x7fec1232b000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=409, name=0x0, handle=0x7fec12327000, mnt_id=0x7fec12327000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=409, name=0x0, handle=0x8, mnt_id=0x10, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=409, name=0x7fec1232b000, handle=0x7fec1272b000, mnt_id=0x7fec1272b008, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=287, name=0x8, handle=0x10, mnt_id=0x11, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=287, name=0x1, handle=0x5, mnt_id=0x9, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=26, name=0x8, handle=0x7fec14433000, mnt_id=0x7fec14433004, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=26, name=0x7fec12a2b000, handle=0x7fec12a2b000, mnt_id=0x7fec12326000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=26, name=0x8, handle=0xc, mnt_id=0xc, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=26, name=0x1, handle=0x7fec1272b000, mnt_id=0x7fec1272b000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=26, name=0x1, handle=0x5, mnt_id=0x6, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=9, name=0x0, handle=0x8, mnt_id=0x8, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=9, name=0x0, handle=0x7fec1272b000, mnt_id=0x7fec1272b001, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=9, name=0x8, handle=0x8, mnt_id=0x10, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=281, name=0x7fec1252b000, handle=0x7fec1252b008, mnt_id=0x7fec1252b008, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=281, name=0x4, handle=0x8, mnt_id=0x7fec1272b000, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=18, name=0x7fec1232b000, handle=0x7fec1232b001, mnt_id=0x0, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=18, name=0x4, handle=0x0, mnt_id=0x4, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=18, name=0x8, handle=0x10, mnt_id=0x14, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=283, name=0x7fec12326000, handle=0x7fec1292b000, mnt_id=0x7fec1292b008, flag=0x100) = -1 (Invalid argument)
name_to_handle_at(fd=283, name=0x7fec12329000, handle=0x7fec12329000, mnt_id=0x7fec12327000, flag=0x100) = -1 (Invalid argument)
