mq_timedsend(mqdes=410, u_msg_ptr=0x7fa113409000, msg_len=8, msg_prio=0x7ffb, u_abs_timeout=0x7fa113409001) = -1 (Bad file descriptor)
mq_timedsend(mqdes=405, u_msg_ptr=0x0, msg_len=8, msg_prio=2, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedsend(mqdes=405, u_msg_ptr=0x0, msg_len=1, msg_prio=4114, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedsend(mqdes=405, u_msg_ptr=0x4, msg_len=0xc2e9, msg_prio=2177, u_abs_timeout=0x7fa113409000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=405, u_msg_ptr=0x4, msg_len=4, msg_prio=0x7fff, u_abs_timeout=0x7fa113207000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=268, u_msg_ptr=0x8, msg_len=0x517000, msg_prio=0, u_abs_timeout=0x7fa113206000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=268, u_msg_ptr=0x7fa113609000, msg_len=144, msg_prio=0x75f5, u_abs_timeout=0x7fa113205000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=268, u_msg_ptr=0x8, msg_len=0xfff6, msg_prio=0x7ff8, u_abs_timeout=0x7fa113909000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=389, u_msg_ptr=0x7fa113a09000, msg_len=4096, msg_prio=0x4458, u_abs_timeout=0x7fa113a09001) = -1 (Bad file descriptor)
mq_timedsend(mqdes=389, u_msg_ptr=0x7fa113809000, msg_len=0, msg_prio=0x79f9, u_abs_timeout=0x7fa113809000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=339, u_msg_ptr=0x0, msg_len=0, msg_prio=0, u_abs_timeout=0x7fa113909000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=339, u_msg_ptr=0x7fa113609000, msg_len=1, msg_prio=0x7ff8, u_abs_timeout=0x7fa113609004) = -1 (Bad file descriptor)
mq_timedsend(mqdes=339, u_msg_ptr=0x0, msg_len=0, msg_prio=0x79f9, u_abs_timeout=0x7fa113809000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=339, u_msg_ptr=0x7fa113609000, msg_len=98, msg_prio=496, u_abs_timeout=0x7fa113207000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=339, u_msg_ptr=0x1, msg_len=8, msg_prio=0, u_abs_timeout=0x9) = -1 (Bad address)
mq_timedsend(mqdes=339, u_msg_ptr=0x8, msg_len=0, msg_prio=41, u_abs_timeout=0xc) = -1 (Bad address)
mq_timedsend(mqdes=392, u_msg_ptr=0x1, msg_len=0, msg_prio=0x5000, u_abs_timeout=0x7fa115313000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=392, u_msg_ptr=0x7fa113209000, msg_len=4096, msg_prio=13764, u_abs_timeout=0x0) = -1 (Bad file descriptor)
